distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10,abs_derivative:Raw,abs_derivative:Median+Gaussian,abs_derivative:Huber MRF lambda=0.1,abs_derivative:Huber MRF lambda=1,abs_derivative:Huber MRF lambda=10
299,46384.0,46551.4555490326,46445.65318209209,46608.57838382178,46608.71479054349,-232.0,5.844811864280928,-207.34402109285656,-64.44022595335264,7.542774254081451,232.0,5.844811864280928,207.34402109285656,64.44022595335264,7.542774254081451
300,46688.0,46558.08190877947,46656.09371280144,46656.427349779326,46627.49330432475,56.0,7.345906388967705,50.90909471654595,32.06264084720897,15.753178997496434,56.0,7.345906388967705,50.90909471654595,32.06264084720897,15.753178997496434
301,46496.0,46566.14736181054,46547.471371525186,46672.7036655162,46640.22114853848,328.0,8.784433459157299,303.3440061255642,104.62814849497227,19.938901640653057,328.0,8.784433459157299,303.3440061255642,104.62814849497227,19.938901640653057
302,47344.0,46575.65077569779,47262.78172505257,46865.68364676927,46667.37110760606,-88.0,10.24822575008875,-86.77203251326137,-46.17819536229945,-6.681485552118829,88.0,10.24822575008875,86.77203251326137,46.17819536229945,6.681485552118829
303,46320.0,46586.643813310715,46373.92730649866,46580.3472747916,46626.858177434246,-416.0,11.73753353565553,-377.8363645329882,-155.16273458186697,-25.170021300098597,416.0,11.73753353565553,377.8363645329882,155.16273458186697,25.170021300098597
304,46512.0,46599.1258427691,46507.10899598659,46555.358177605536,46617.03106500586,144.0,13.153356952687318,108.72666942088836,-3.310008383294189,-4.575559178094409,144.0,13.153356952687318,108.72666942088836,3.310008383294189,4.575559178094409
305,46608.0,46612.95052721609,46591.38064534044,46573.727258025014,46617.70705907806,-16.0,14.323268615120469,1.1748760560622031,1.2327094319880416,1.1613470260963368,16.0,14.323268615120469,1.1748760560622031,1.2327094319880416,1.1613470260963368
306,46480.0,46627.77237999934,46509.45874809872,46557.82359646951,46619.35375905805,88.0,15.045992615308933,65.37184325185444,23.008136679251038,8.6143879329029,88.0,15.045992615308933,65.37184325185444,23.008136679251038,8.6143879329029
307,46784.0,46643.04251244671,46722.12433184415,46619.743531383516,46634.93583494386,-128.0,15.154356484319578,-102.12026119199436,-20.208299394242204,8.128867633000482,128.0,15.154356484319578,102.12026119199436,20.208299394242204,8.128867633000482
308,46224.0,46658.08109296798,46305.21822571473,46517.40699768103,46635.61149432405,24.0,14.566068955413357,38.52152388160175,44.36696513802963,21.25623409639593,24.0,14.566068955413357,38.52152388160175,44.36696513802963,21.25623409639593
