distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
960,43392.0,43625.50549577226,43455.563342634174,43579.97387738562,43572.523364727145,0.0,12.956241934563877,3.664122307636717,10.673632836715115,10.092829271252413
961,43808.0,43636.43850850172,43777.044178112665,43684.634448915145,43591.64236223476,216.0,8.680873586705275,166.7017260418179,42.977795987095305,8.30111561934973
962,43824.0,43642.86724294567,43788.96679471781,43665.92946935981,43589.125595965845,-312.0,4.147757907292544,-262.68114716559285,-97.74024487542556,-14.260486470622709
963,43184.0,43644.734024316305,43251.68188378148,43489.153959164294,43563.12138929351,32.0,-0.2641964928843663,15.675663837064349,-24.198530613368348,-7.048137207657419
964,43888.0,43642.3388499599,43820.31812239194,43617.53240813308,43575.02932155053,16.0,-4.2487915629390045,15.9999957176733,-6.855346964679484,-3.7406016654531413
965,43216.0,43636.23644119043,43283.681875216826,43475.443265234935,43555.640185962606,-64.0,-7.6106429866704275,-56.79680277070656,-12.36751028067738,-2.407126289795997
966,43760.0,43627.11756398656,43706.724516850525,43592.79738757172,43570.21506897094,136.0,-10.272619032260991,114.34859391234568,33.752816122650984,5.085636456879001
967,43488.0,43615.691203125905,43512.37906304152,43542.94889748024,43565.811458876364,-88.0,-12.24556798134654,-72.45013860140898,-22.374041351362393,-0.5130371507548261
968,43584.0,43602.62642802387,43561.82423964771,43548.049304869,43569.18899466943,-72.0,-13.583524750774814,-61.43362515527406,-12.87494017674544,2.6369855265365914
969,43344.0,43588.524153624356,43389.51181273097,43517.199017126746,43571.08542992944,48.0,-14.328184862373746,55.24663673811301,55.74922082112607,13.250706756476575
970,43680.0,43573.97005829912,43672.31751312393,43659.54774651125,43595.69040818238,272.0,-14.46230986581213,244.39326601262292,132.12260264012002,20.389498662068945
971,43888.0,43559.59953389273,43878.298344756215,43781.444222406986,43611.864427253575,176.0,-13.904680585168535,157.4725554133438,68.61858709923763,2.3672404338685737
972,44032.0,43546.160697128784,43987.26262395062,43796.784920709724,43600.42488905012,-192.0,-12.54006767852843,-176.01867147624216,-102.2668413424035,-33.01829375095258
973,43504.0,43534.519398535675,43526.26100180373,43576.91053972218,43545.82783975167,-312.0,-10.27494366103565,-288.40054270447945,-183.41911112645903,-52.50565731085953
974,43408.0,43525.61080980671,43410.46153854166,43429.946698456806,43495.4135744284,-80.0,-7.099077828981535,-103.49177055375549,-135.99049203696268,-46.04358660185608
975,43344.0,43520.32124287771,43319.27746069622,43304.929555648254,43453.74066654796,-328.0,-3.1431985223352967,-295.389821975994,-144.55236498443264,-36.185874553040776
976,42752.0,43519.32441276204,42819.681894589674,43140.84196848794,43423.04182532232,96.0,1.2911265040747821,87.02500706818319,30.33339708366475,2.8532500404762686
977,43536.0,43522.90349588586,43493.327474832586,43365.59634981558,43459.44716662891,312.0,5.761959458963247,292.66490179113316,139.55255623543053,32.5776996380373
978,43376.0,43530.84833167997,43405.01169817194,43419.9470809588,43488.19722459839,56.0,9.762771815967426,56.74271419904471,76.32427162261592,34.35991919939988
979,43648.0,43542.429039517796,43606.812903230675,43518.244893060815,43528.16700502771,0.0,12.801475572392519,-4.134278787871153,33.42025863242452,33.97813068070536
980,43376.0,43556.45128282475,43396.7431405962,43486.78759822365,43556.1534859598,-144.0,14.517948036318558,-106.35405965349491,23.936504274661274,36.99415523008429
981,43360.0,43571.46493559043,43394.104783923685,43566.11790161014,43602.15531548788,376.0,14.779209237316536,338.17303120912766,182.38925419155203,58.109595302466914
982,44128.0,43586.00970129939,44073.08920301445,43851.566106606755,43672.37267656474,232.0,13.703217963975476,234.1429658998095,147.23125829999844,47.43599490509587
