angle_deg,image_index,image,method,rmse_from_raw,mae_from_raw,residual_std,derivative_noise_mad,max_abs_derivative,max_abs_derivative_position,major_candidate_position,major_candidate_shift_from_median_gaussian,main_peak_prominence,main_peak_width,significant_peak_count,artificial_peak_suspect_count,assessment
150,25,img134527_ 25_150.tiff,Raw,0.0,0.0,0.0,225.3552,688.0,158,158,-903,688.0,1.3440781440781393,2,0,candidate_only_not_PD
150,25,img134527_ 25_150.tiff,Median+Gaussian,297.50978076958353,233.1902331909972,297.49796838762916,13.336023101119526,50.35181857218049,1061,1061,0,50.17012829763553,11.86847213632268,3,0,candidate_only_not_PD
150,25,img134527_ 25_150.tiff,Huber MRF lambda=0.1,46.162907376919584,38.78842732796549,46.162907376919584,194.6236154990438,609.3942431677315,158,158,-903,608.8456163602896,1.383039169640881,2,0,candidate_only_not_PD
150,25,img134527_ 25_150.tiff,Huber MRF lambda=1,186.72712359533145,149.67908204934557,186.72712359533145,94.76735437325213,296.9119399085357,925,925,-136,296.65274113187115,4.418507151413678,2,0,candidate_only_not_PD
150,25,img134527_ 25_150.tiff,Huber MRF lambda=10,270.14822663576325,216.44967975343292,270.14822663576325,27.53395010025277,85.96409433164081,1058,1058,-3,85.59364248518978,6.419886426847256,3,0,candidate_only_not_PD
156,26,img134532_ 26_156.tiff,Raw,0.0,0.0,0.0,213.49439999999998,664.0,570,570,-480,664.0,1.401728723404176,5,0,candidate_only_not_PD
156,26,img134532_ 26_156.tiff,Median+Gaussian,300.71219084738647,234.17373701438228,300.70546213951667,14.211629586715036,62.93468274693805,1050,1050,0,62.57077347293307,8.045797077455063,2,0,candidate_only_not_PD
156,26,img134532_ 26_156.tiff,Huber MRF lambda=0.1,44.96930367710417,37.88120992217006,44.96930367710417,193.48428343435876,591.0862933208446,570,570,-480,590.347439497571,1.4659336356091899,3,0,candidate_only_not_PD
156,26,img134532_ 26_156.tiff,Huber MRF lambda=1,184.27179036442746,147.69450354374848,184.27179036442746,97.52978323188395,338.55095845729375,1050,1050,0,338.41082209547676,4.304269155410225,1,0,candidate_only_not_PD
156,26,img134532_ 26_156.tiff,Huber MRF lambda=10,270.63270458912785,216.0800091451759,270.63270458912785,26.271061335696146,150.76441087697822,1050,1050,0,150.14079136568762,4.914238436743972,3,0,candidate_only_not_PD
162,27,img134537_ 27_162.tiff,Raw,0.0,0.0,0.0,284.6592,872.0,656,656,-392,872.0,1.130292284547636,6,0,candidate_only_not_PD
162,27,img134537_ 27_162.tiff,Median+Gaussian,374.78631844237094,295.00476078743014,374.7840905973012,18.791910824277345,97.25027253323424,1048,1048,0,96.92855864941157,9.185759940287085,3,0,candidate_only_not_PD
162,27,img134537_ 27_162.tiff,Huber MRF lambda=0.1,55.89905486403281,46.98136800431101,55.89905486403282,245.66072865580773,797.0911748571743,1058,1058,10,792.8696324295124,2.2088693744897228,9,0,candidate_only_not_PD
162,27,img134537_ 27_162.tiff,Huber MRF lambda=1,228.09258891142508,183.29203361271286,228.09258891142508,120.59495455364281,570.6998095696144,1059,1059,11,568.6120888383375,2.7162891365311452,6,0,candidate_only_not_PD
162,27,img134537_ 27_162.tiff,Huber MRF lambda=10,337.40643934831246,271.26762171867216,337.40643934831246,34.761462673880835,213.81582164479187,1059,1059,11,213.21579595699586,4.721993553265065,6,0,candidate_only_not_PD
168,28,img134541_ 28_168.tiff,Raw,0.0,0.0,0.0,225.3552,840.0,997,997,-63,832.0,1.3727652464494895,4,0,candidate_only_not_PD
168,28,img134541_ 28_168.tiff,Median+Gaussian,307.4001382656895,237.89761965116244,307.3974220435572,15.007488608323332,83.98250829807148,1060,1060,0,83.91323057750196,8.858171725118837,4,0,candidate_only_not_PD
168,28,img134541_ 28_168.tiff,Huber MRF lambda=0.1,45.54606138075331,37.85800598447927,45.54606138075331,192.93259972881597,767.3701766289705,997,997,-63,765.7638608065827,1.452565832335722,5,0,candidate_only_not_PD
168,28,img134541_ 28_168.tiff,Huber MRF lambda=1,193.06964047992156,151.62458561325664,193.06964047992156,94.6411317503725,412.39398903602705,997,997,-63,411.89924881640763,1.8102474468023502,5,0,candidate_only_not_PD
168,28,img134541_ 28_168.tiff,Huber MRF lambda=10,279.61689642056854,219.7015773695078,279.61689642056854,27.108170719246534,144.49902962246415,1058,1058,-2,144.29542855855107,6.93103714037079,5,0,candidate_only_not_PD
174,29,img134546_ 29_174.tiff,Raw,0.0,0.0,0.0,249.0768,760.0,1189,1189,141,760.0,1.05232558139528,1,0,candidate_only_not_PD
174,29,img134546_ 29_174.tiff,Median+Gaussian,317.9651659072476,250.96500060029746,317.93799700110844,12.217265916813274,92.07973906474217,1048,1048,0,91.89869702869328,8.074090457260127,5,0,candidate_only_not_PD
174,29,img134546_ 29_174.tiff,Huber MRF lambda=0.1,48.64146713545564,40.72509675152516,48.64146713545564,211.175818352262,669.7574762412005,1189,1189,141,641.6236172704557,1.037660929214553,2,0,candidate_only_not_PD
174,29,img134546_ 29_174.tiff,Huber MRF lambda=1,197.00504168652662,158.445057259282,197.00504168652662,101.98538927904214,315.24024306165666,1049,1049,1,315.04810888591237,5.004037844570007,2,0,candidate_only_not_PD
174,29,img134546_ 29_174.tiff,Huber MRF lambda=10,287.98258145767795,232.23360243187807,287.98258145767795,27.90992469725002,163.8642949404857,1049,1049,1,163.5935112698171,5.719616603744157,3,0,candidate_only_not_PD
180,30,img134551_ 30_180.tiff,Raw,0.0,0.0,0.0,284.6592,840.0,952,952,-95,840.0,1.2769230769231399,1,0,candidate_only_not_PD
180,30,img134551_ 30_180.tiff,Median+Gaussian,376.7712827510558,299.7492247900387,376.7654771283058,16.829907965777682,101.81230816948664,1047,1047,0,101.71661300365304,9.071706722935687,7,0,candidate_only_not_PD
180,30,img134551_ 30_180.tiff,Huber MRF lambda=0.1,58.745501101495634,49.29436777271309,58.745501101495634,246.1117898603603,775.9907772665574,1197,952,-95,747.8472264313968,1.343175774874453,2,0,candidate_only_not_PD
