angle_deg,image_index,image,method,rmse_from_raw,mae_from_raw,residual_std,derivative_noise_mad,max_abs_derivative,max_abs_derivative_position,major_candidate_position,major_candidate_shift_from_median_gaussian,main_peak_prominence,main_peak_width,significant_peak_count,artificial_peak_suspect_count,assessment
78,13,img114246_ 13_ 78.tiff,Huber MRF lambda=0.1,34.4668686781688,28.176334773067556,34.4668686781688,171.75801525109367,1169.8996051496651,507,507,-55,1169.8382169096076,3.086303563638353,7,0,candidate_only_not_PD
78,13,img114246_ 13_ 78.tiff,Huber MRF lambda=1,148.06127590140488,117.04154465591114,148.06127590140488,87.38450348871348,1135.9984963544375,506,506,-56,1135.5088724883535,2.9500609508084494,8,0,candidate_only_not_PD
78,13,img114246_ 13_ 78.tiff,Huber MRF lambda=10,271.21492749129897,204.67923906671666,271.21492749129897,24.05212729866101,626.9325134256032,506,506,-56,626.9049376836047,2.7638290418414613,9,0,candidate_only_not_PD
84,14,img114251_ 14_ 84.tiff,Raw,0.0,0.0,0.0,249.0768,1600.0,506,506,0,1600.0,2.960710710710714,6,0,candidate_only_not_PD
84,14,img114251_ 14_ 84.tiff,Median+Gaussian,422.9362162139894,288.36442301781744,422.8966933114948,10.954208339971316,255.36691081442405,506,506,0,255.3624435889651,7.932018333012422,9,0,candidate_only_not_PD
84,14,img114251_ 14_ 84.tiff,Huber MRF lambda=0.1,39.786279217069634,32.73924618876489,39.786279217069634,223.81642522340377,1599.9999979391287,506,506,0,1598.7428564571346,2.9526366898127776,8,0,candidate_only_not_PD
84,14,img114251_ 14_ 84.tiff,Huber MRF lambda=1,174.122640195314,138.4499784441339,174.122640195314,109.21185829336508,1599.999997410836,506,506,0,1599.9588777509525,2.862706273475112,9,0,candidate_only_not_PD
84,14,img114251_ 14_ 84.tiff,Huber MRF lambda=10,316.2854258517324,239.48720575837143,316.2854258517324,26.551990196015947,984.2119626122512,506,506,0,984.1724986398876,2.8288287750534096,8,0,candidate_only_not_PD
90,15,img114256_ 15_ 90.tiff,Raw,0.0,0.0,0.0,320.2416,2416.0,506,506,0,2416.0,2.8032722255076123,5,0,candidate_only_not_PD
90,15,img114256_ 15_ 90.tiff,Median+Gaussian,615.6917463839823,395.20294136914197,615.6467062032721,16.01602641477179,412.1093425498584,506,506,0,412.0452356640344,8.211065577442355,9,0,candidate_only_not_PD
